,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
51,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,3,3,,,,2,,,,,,3,,3,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
53,,13,13,,,,,,,,,,13,,19,,,,13,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,
56,,,8,,,,,,,,,,6,,,,,,7,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
57,,10,10,,,,11,,,,,,10,,10,,,,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,37,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,15,18,,,,,,,,,,14,,,,,,17,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,27,,,,
62,,,,,20,21,22,23,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
63,,,28,,,,,,,,,,28,,,,,,28,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,30,,,,,
65,52,,,,,,34,36,,35,,,,,,49,,64,,,,,67,69,68,,39,,,,,,,,,,,,,38,,,,,,,,,,
66,33,,,,,,33,33,,33,,,,,,33,,33,,32,,,33,33,33,,33,,,,,,,,,,,32,,33,,,,,,,,,,
67,,,,,75,75,75,75,,75,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,75,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,40,41,,,,
69,,,,,44,46,48,47,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,42,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55,53,,58,,57,,,,,,,,,,,,,54,,
72,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,
73,,,,,59,60,63,62,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,66,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,70,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,73,,,74,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,80,80,80,80,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,79,,,,,79,,,,,78
81,,,,,84,85,86,88,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,81,,83,,82,81,,,,,81
